,0,1,2,3,4
51,대구광역시,달서구,0.003896339253352664,0.003611469760442888,0.013300000000000001
52,대구광역시,달성군,0.001218235270428094,0.0010830693777459895,0.009399999999999999
54,인천광역시,중구,0.0005235391244814949,0.0010073659864198333,0.0178
55,인천광역시,동구,0.00042789255366276025,0.00037015707292605216,0.0113
56,인천광역시,남구,0.002220007249003262,0.0025126094912546327,0.0127
57,인천광역시,연수구,0.0017166042446941324,0.0009233027113889483,0.0058
58,인천광역시,남동구,0.0034483105795175386,0.0032682500905654066,0.0128
59,인천광역시,부평구,0.00322177922757843,0.002655656390202216,0.0104
60,인천광역시,계양구,0.0018072167854697758,0.002125732650919123,0.013999999999999999
61,인천광역시,서구,0.0024163344206838224,0.0026839871072015754,0.0109
62,인천광역시,강화군,0.00030707583262856914,0.0005401413749222066,0.0167
63,인천광역시,옹진군,2.5170150215456486e-05,1.7648643376649917e-05,0.0017000000000000001
65,광주광역시,동구,0.0011477588498248158,0.002826569568165563,0.0629
66,광주광역시,서구,0.0026025935322782005,0.00263289892900601,0.0184
67,광주광역시,남구,0.0015454472232290283,0.003010951447653195,0.029500000000000002
68,광주광역시,북구,0.002864363094518948,0.005129717528818377,0.024900000000000002
69,광주광역시,광산구,0.002220007249003262,0.004546847859405334,0.0235
71,대전광역시,동구,0.0016461278240908542,0.0014903814893597257,0.0137
72,대전광역시,중구,0.0018927952962023277,0.0027197488319384714,0.023399999999999997
73,대전광역시,서구,0.004223551206153598,0.0035353019311331357,0.0155
74,대전광역시,유성구,0.0020991905279690707,0.000755640599310774,0.0046
75,대전광역시,대덕구,0.0011024525794369941,0.001281848834725099,0.0146
77,울산광역시,중구,0.0011477588498248158,0.001169919280678451,0.0105
78,울산광역시,남구,0.0030606902661995086,0.00263289892900601,0.0167
79,울산광역시,동구,0.0009212274978857074,0.0010092237383542175,0.0126
80,울산광역시,북구,0.0007601385365067859,0.0007138411807871295,0.0076
81,울산광역시,울주군,0.0008859892875840683,0.0015535450551287886,0.0147
84,경기도,수원시,0.007691997905843502,0.005431137780172213,0.009399999999999999
85,경기도,성남시,0.007858120897265515,0.004470680030095582,0.0098
86,경기도,의정부시,0.0026025935322782005,0.0023245121078982324,0.011200000000000002
87,경기도,안양시,0.004143006725464138,0.002092293116100207,0.0076
88,경기도,부천시,0.0053964802061938705,0.005631774989085707,0.0139
89,경기도,광명시,0.0020035439571503364,0.0009669598818469769,0.0060999999999999995
90,경기도,평택시,0.0024968789013732834,0.001832672283270015,0.0078000000000000005
91,경기도,동두천시,0.00046313076396439936,0.0013162172455112068,0.028300000000000002
92,경기도,안산시,0.0036698079014135555,0.004560316560929619,0.0134
93,경기도,고양시,0.005884781120373726,0.00596663477525846,0.012199999999999999
94,경기도,과천시,0.0003423140429302082,0.0,0.0
95,경기도,구리시,0.0011074866094800853,0.0013496567803301224,0.0144
96,경기도,남양주시,0.0030606902661995086,0.002855829161132114,0.0091
97,경기도,오산시,0.0007349683862913293,0.0011476262574658406,0.0111
98,경기도,시흥시,0.0020035439571503364,0.0017560400159766665,0.0084
99,경기도,군포시,0.0015102090129273892,0.001114186722646925,0.0083
100,경기도,의왕시,0.000745036446377512,0.0009158717036514114,0.0126
101,경기도,하남시,0.0011376907897386332,0.00040963430153171645,0.0038
102,경기도,용인시,0.004983689742660384,0.0037721653027671213,0.008
103,경기도,파주시,0.0018927952962023277,0.002017983038724839,0.0097
104,경기도,이천시,0.0010420442189198985,0.0009316625950936771,0.0091
105,경기도,안성시,0.000780274656679151,0.0010069015484362373,0.011200000000000002
106,경기도,김포시,0.00197837380693488,0.0014137492220663774,0.0074
107,경기도,화성시,0.0032268132576215216,0.0021888962166881857,0.006500000000000001
108,경기도,광주시,0.0012836776609882808,0.0008815032928653037,0.0053
109,경기도,양주시,0.0007400024163344207,0.0012674512572336215,0.0124
110,경기도,포천시,0.0006191856953002296,0.0006678618204111205,0.0087
111,경기도,여주시,0.0005889815150416818,0.0009051896300287023,0.0169
112,경기도,연천군,0.0001661229914220128,0.00013050707339049017,0.0060999999999999995
113,경기도,가평군,0.000322177922757843,0.000368763758975264,0.0124
114,경기도,양평군,0.0005336071845676775,0.0005861207352982156,0.0108
116,강원도,춘천시,0.0016310257339615802,0.0019329908877267618,0.0146
117,강원도,원주시,0.0020740203777536146,0.002258561914227593,0.0141
118,강원도,강릉시,0.0011578269099109984,0.0013412968966253936,0.0134
119,강원도,동해시,0.0004933349442229471,0.0007156989327215137,0.0165
120,강원도,태백시,0.00020639523176674317,0.0002614785847645764,0.012199999999999999
121,강원도,속초시,0.0005889815150416818,0.00034647073576265364,0.009000000000000001
122,강원도,삼척시,0.0002768716523700213,0.00020899709261822268,0.006500000000000001
123,강원도,홍천군,0.00030707583262856914,0.00039941666589260336,0.0121
124,강원도,횡성군,0.0001812250815512867,0.00013422257725925857,0.0062
125,강원도,영월군,0.00014095284120655633,0.0001806663756188636,0.0096
126,강원도,평창군,0.0002013612017236519,7.756114326054042e-05,0.0038
127,강원도,정선군,0.00011074866094800854,0.00012121831371856917,0.0068000000000000005
128,강원도,철원군,0.0001761910515081954,0.00016441104619300184,0.0074
129,강원도,화천군,8.557851073255205e-05,1.207538757349731e-05,0.001
130,강원도,양구군,9.061254077564335e-05,0.00010264079437472714,0.0092
131,강원도,인제군,0.00011074866094800854,6.409244173625495e-05,0.0042
132,강원도,고성군,8.557851073255205e-05,0.0,0.0
133,강원도,양양군,7.551045064636945e-05,0.0,0.0
135,충청북도,청주시,0.005008859892875841,0.004858021308414688,0.0123
136,충청북도,충주시,0.0011175546695662679,0.0013018196680197292,0.0131
137,충청북도,제천시,0.000795376746808425,0.0011643460248752983,0.0182
138,충청북도,보은군,0.0001610889613789215,0.00033393091020556025,0.0208
139,충청북도,옥천군,0.00028693971245620395,0.0005178483517095962,0.0212
140,충청북도,영동군,0.00028190568241311266,0.00032557102650083135,0.0138
141,충청북도,증평군,0.0001912931416374693,0.00015047790668512034,0.0084
142,충청북도,진천군,0.00032721195280093434,0.0003302154063367919,0.009000000000000001
143,충청북도,괴산군,0.00011578269099109984,0.00017323536788132682,0.009399999999999999
144,충청북도,음성군,0.00048326688413676455,0.0010194413739933307,0.0207
145,충청북도,단양군,0.00010068060086182594,0.00011332286799743631,0.008
147,충청남도,천안시,0.0036295356610688253,0.003813035845323574,0.0126
148,충청남도,공주시,0.0006795940558173251,0.0018391744150403596,0.0359
149,충청남도,보령시,0.0005638113648262253,0.0004769778091531438,0.0097
150,충청남도,아산시,0.0014850388627119326,0.001631106198389329,0.010700000000000001
151,충청남도,서산시,0.0007752406266360597,0.00048487325487427666,0.0059
152,충청남도,논산시,0.0011578269099109984,0.0015094234466871638,0.0258
153,충청남도,계룡시,0.00023156538198219968,0.00014722684079994798,0.0072
154,충청남도,당진시,0.0008507510772824292,0.000616773642215555,0.0077
155,충청남도,금산군,0.0003171438927147517,0.0003385752900415208,0.0131
156,충청남도,부여군,0.0003574161330594821,0.0005703298438559499,0.0175
157,충청남도,서천군,0.0003423140429302082,0.0010282656956816557,0.0392
158,충청남도,청양군,0.00012585075107728242,0.0001058918602598995,0.0068000000000000005
159,충청남도,홍성군,0.0004883009141798558,0.0007115189908691493,0.0148
160,충청남도,예산군,0.00044299464379203416,0.0002071393406838385,0.0054
161,충청남도,태안군,0.0003020418025854778,0.00026008527081378824,0.0088
163,전라북도,전주시,0.005049132133220571,0.007514606574584096,0.024700000000000003
164,전라북도,군산시,0.001625991703918489,0.0019785058101191746,0.0152
165,전라북도,익산시,0.001832386935685232,0.0022325533871462144,0.015700000000000002
166,전라북도,정읍시,0.0007651725665498772,0.0011954633697762338,0.0222
167,전라북도,남원시,0.0005436752446538601,0.0008438838161940236,0.0216
168,전라북도,김제시,0.000508437034352221,0.0016185663728322357,0.0392
169,전라북도,완주군,0.0004983689742660384,0.0010250146297964833,0.022400000000000003
170,전라북도,진안군,0.00010571463090491724,0.00012028943775137706,0.0097
171,전라북도,무주군,0.00014095284120655633,6.0841375851082607e-05,0.0052
172,전라북도,장수군,9.061254077564335e-05,0.0,0.0
173,전라북도,임실군,0.00015605493133583021,0.00018995513529078463,0.0134
174,전라북도,순창군,0.0001510209012927389,0.0002930603676491078,0.021
175,전라북도,고창군,0.000322177922757843,0.00043564282861309527,0.015300000000000001
176,전라북도,부안군,0.0003372800128871169,0.0005717231578067381,0.0217
178,전라남도,목포시,0.0014346985622810198,0.006062773437862842,0.051
179,전라남도,여수시,0.0015303451330997543,0.0034205857491849114,0.0253
180,전라남도,순천시,0.0015102090129273892,0.0038734127831910603,0.0288
181,전라남도,나주시,0.0006745600257742338,0.003419192435234123,0.0666
182,전라남도,광양시,0.0006644919656880512,0.0009144783897006233,0.0126
183,전라남도,담양군,0.00026176956224074747,0.0010533453467958423,0.0526
184,전라남도,곡성군,0.0001610889613789215,0.00028516492192797496,0.0206
185,전라남도,구례군,0.00013088478112037373,0.0005080951540540791,0.0434
186,전라남도,고흥군,0.0003372800128871169,0.0009158717036514114,0.023799999999999998
187,전라남도,보성군,0.00023156538198219968,0.0009288759671921008,0.0483
188,전라남도,화순군,0.000372518223188756,0.0031642159822398916,0.10310000000000001
189,전라남도,장흥군,0.00023156538198219968,0.00029259592966551177,0.012199999999999999
190,전라남도,강진군,0.0001761910515081954,0.00035343730551659435,0.0231
191,전라남도,해남군,0.0003574161330594821,0.0012479448619225875,0.0253
192,전라남도,영암군,0.00027183762232693004,0.0006274557158382642,0.0256
193,전라남도,무안군,0.00042285852361966897,0.000764000483015503,0.0176
194,전라남도,함평군,0.0001761910515081954,0.0005359614330698422,0.0344
195,전라남도,영광군,0.00034734807297329953,0.0011206888544172697,0.0368
196,전라남도,장성군,0.0002013612017236519,0.00046490242157964647,0.0218
197,전라남도,완도군,0.00022149732189601708,5.480368206433395e-05,0.0027
198,전라남도,진도군,0.0001610889613789215,8.266996108009698e-05,0.0058
199,전라남도,신안군,0.00012585075107728242,0.00015698003845546505,0.0088
201,경상북도,포항시,0.003035520115984052,0.004465571212276025,0.018500000000000003
202,경상북도,경주시,0.0013138818412468285,0.0016538636595855355,0.013300000000000001
203,경상북도,김천시,0.0006242197253433209,0.00103012344761604,0.015300000000000001
204,경상북도,안동시,0.0009010913777133422,0.0024373705379120724,0.0313
205,경상북도,구미시,0.002220007249003262,0.0019864012558403078,0.01
206,경상북도,영주시,0.0005889815150416818,0.0009729975756337257,0.0191
207,경상북도,영천시,0.000609117635214047,0.0010110814902886019,0.0209
208,경상북도,상주시,0.00048326688413676455,0.0005596477702332407,0.0118
209,경상북도,문경시,0.0004178244935765777,0.0006209535840679194,0.0181
210,경상북도,경산시,0.0014095284120655633,0.001852178678581049,0.0148
211,경상북도,군위군,8.557851073255205e-05,0.0,0.0
212,경상북도,의성군,0.00025170150215456485,0.0006534642429196429,0.026000000000000002
213,경상북도,청송군,0.00014095284120655633,0.00014118914701319934,0.0116
214,경상북도,영양군,3.523821030163908e-05,2.3221899179802522e-05,0.0028000000000000004
215,경상북도,영덕군,0.0001912931416374693,0.00010821405017787975,0.0059
216,경상북도,청도군,0.00025673553219765613,0.0006920125955581151,0.0336
217,경상북도,고령군,0.0001761910515081954,0.00014954903071792824,0.0091
218,경상북도,성주군,0.00022653135193910837,0.0004830155029398924,0.0222
219,경상북도,칠곡군,0.00048326688413676455,0.0008541014518331367,0.0147
220,경상북도,예천군,0.0001912931416374693,0.0002967758715178762,0.0128
221,경상북도,봉화군,0.00010068060086182594,0.00011936056178418496,0.0077
222,경상북도,울진군,0.00020639523176674317,0.00017091317796334656,0.006999999999999999
223,경상북도,울릉군,1.5102090129273892e-05,1.9506395311034117e-05,0.0040999999999999995
225,경상남도,창원시,0.006277435463734848,0.008872623238618947,0.0178
226,경상남도,진주시,0.002084088437839797,0.0028502559053289614,0.0175
227,경상남도,통영시,0.000745036446377512,0.001003186044567469,0.0155
228,경상남도,사천시,0.0006242197253433209,0.0013677698616903684,0.025099999999999997
229,경상남도,김해시,0.0026176956224074747,0.005189630028702268,0.0203
230,경상남도,밀양시,0.0005537433047400426,0.0011378730598103235,0.0222
231,경상남도,거제시,0.0010974185493939027,0.001106755714909388,0.0091
232,경상남도,양산시,0.0017166042446941324,0.0032933297416795934,0.0206
233,경상남도,의령군,0.00013088478112037373,0.00028795154982955124,0.0217
234,경상남도,함안군,0.00027183762232693004,0.0005201705416275765,0.015600000000000001
235,경상남도,창녕군,0.00032721195280093434,0.0010421988351895371,0.0337
236,경상남도,고성군,0.00024163344206838228,0.0005034507742181187,0.0195
237,경상남도,남해군,0.00022653135193910837,0.00013375813927566252,0.0063
238,경상남도,하동군,0.00023156538198219968,0.0003288220923860037,0.0143
239,경상남도,산청군,0.00015605493133583021,0.0,0.0
240,경상남도,함양군,0.0001912931416374693,4.923042626118134e-05,0.0026
241,경상남도,거창군,0.0003171438927147517,0.00034832848769703783,0.011899999999999999
242,경상남도,합천군,0.00022149732189601708,0.0003980233519418152,0.018000000000000002
244,제주특별자치도,제주시,0.0031462687769320606,0.0019269531939400133,0.0084
245,제주특별자치도,서귀포시,0.001016874068704442,0.0002554408909778277,0.003
