"행정구역별(시군구)","직업별","항목","단위","2015 년",
"읍부","4. 서비스 종사자","남-현거주지","","80320",
"읍부","4. 서비스 종사자","남-근무지","","84231",
"읍부","4. 서비스 종사자","여-현거주지","","150650",
"읍부","4. 서비스 종사자","여-근무지","","146599",
"읍부","5. 판매 종사자","취업인구-현거주지","","205269",
"읍부","5. 판매 종사자","취업인구-근무지","","188357",
"읍부","5. 판매 종사자","남-현거주지","","103635",
"읍부","5. 판매 종사자","남-근무지","","100069",
"읍부","5. 판매 종사자","여-현거주지","","101634",
"읍부","5. 판매 종사자","여-근무지","","88288",
"읍부","6. 농림어업 숙련 종사자","취업인구-현거주지","","216820",
"읍부","6. 농림어업 숙련 종사자","취업인구-근무지","","217992",
"읍부","6. 농림어업 숙련 종사자","남-현거주지","","125643",
"읍부","6. 농림어업 숙련 종사자","남-근무지","","126560",
"읍부","6. 농림어업 숙련 종사자","여-현거주지","","91177",
"읍부","6. 농림어업 숙련 종사자","여-근무지","","91432",
"읍부","7. 기능원 및 관련 기능 종사자","취업인구-현거주지","","211190",
"읍부","7. 기능원 및 관련 기능 종사자","취업인구-근무지","","238492",
"읍부","7. 기능원 및 관련 기능 종사자","남-현거주지","","182379",
"읍부","7. 기능원 및 관련 기능 종사자","남-근무지","","208805",
"읍부","7. 기능원 및 관련 기능 종사자","여-현거주지","","28811",
"읍부","7. 기능원 및 관련 기능 종사자","여-근무지","","29687",
"읍부","8. 장치, 기계조작 및 조립 종사자","취업인구-현거주지","","352946",
"읍부","8. 장치, 기계조작 및 조립 종사자","취업인구-근무지","","405165",
"읍부","8. 장치, 기계조작 및 조립 종사자","남-현거주지","","283184",
"읍부","8. 장치, 기계조작 및 조립 종사자","남-근무지","","328025",
"읍부","8. 장치, 기계조작 및 조립 종사자","여-현거주지","","69762",
"읍부","8. 장치, 기계조작 및 조립 종사자","여-근무지","","77140",
"읍부","9. 단순 노무 종사자","취업인구-현거주지","","277156",
"읍부","9. 단순 노무 종사자","취업인구-근무지","","288868",
"읍부","9. 단순 노무 종사자","남-현거주지","","160633",
"읍부","9. 단순 노무 종사자","남-근무지","","170971",
"읍부","9. 단순 노무 종사자","여-현거주지","","116523",
"읍부","9. 단순 노무 종사자","여-근무지","","117897",
"읍부","A. 기타","취업인구-현거주지","","21512",
"읍부","A. 기타","취업인구-근무지","","22891",
"읍부","A. 기타","남-현거주지","","20352",
"읍부","A. 기타","남-근무지","","21685",
"읍부","A. 기타","여-현거주지","","1160",
"읍부","A. 기타","여-근무지","","1206",
"면부","계","취업인구-현거주지","","2493858",
"면부","계","취업인구-근무지","","3106348",
"면부","계","남-현거주지","","1450382",
"면부","계","남-근무지","","1945003",
"면부","계","여-현거주지","","1043476",
"면부","계","여-근무지","","1161345",
"면부","1. 관리자","취업인구-현거주지","","11961",
"면부","1. 관리자","취업인구-근무지","","23891",
"면부","1. 관리자","남-현거주지","","9720",
"면부","1. 관리자","남-근무지","","20152",
"면부","1. 관리자","여-현거주지","","2241",
"면부","1. 관리자","여-근무지","","3739",
"면부","2. 전문가 및 관련 종사자","취업인구-현거주지","","221359",
"면부","2. 전문가 및 관련 종사자","취업인구-근무지","","305054",
"면부","2. 전문가 및 관련 종사자","남-현거주지","","111295",
"면부","2. 전문가 및 관련 종사자","남-근무지","","181924",
"면부","2. 전문가 및 관련 종사자","여-현거주지","","110064",
"면부","2. 전문가 및 관련 종사자","여-근무지","","123130",
"면부","3. 사무 종사자","취업인구-현거주지","","203430",
"면부","3. 사무 종사자","취업인구-근무지","","346036",
"면부","3. 사무 종사자","남-현거주지","","111042",
"면부","3. 사무 종사자","남-근무지","","217196",
"면부","3. 사무 종사자","여-현거주지","","92388",
"면부","3. 사무 종사자","여-근무지","","128840",
"면부","4. 서비스 종사자","취업인구-현거주지","","214073",
"면부","4. 서비스 종사자","취업인구-근무지","","232642",
"면부","4. 서비스 종사자","남-현거주지","","73344",
"면부","4. 서비스 종사자","남-근무지","","85015",
"면부","4. 서비스 종사자","여-현거주지","","140729",
"면부","4. 서비스 종사자","여-근무지","","147627",
"면부","5. 판매 종사자","취업인구-현거주지","","138020",
"면부","5. 판매 종사자","취업인구-근무지","","149108",
"면부","5. 판매 종사자","남-현거주지","","70819",
"면부","5. 판매 종사자","남-근무지","","88995",
"면부","5. 판매 종사자","여-현거주지","","67201",
"면부","5. 판매 종사자","여-근무지","","60113",
"면부","6. 농림어업 숙련 종사자","취업인구-현거주지","","831604",
"면부","6. 농림어업 숙련 종사자","취업인구-근무지","","859426",
"면부","6. 농림어업 숙련 종사자","남-현거주지","","459320",
"면부","6. 농림어업 숙련 종사자","남-근무지","","478497",
"면부","6. 농림어업 숙련 종사자","여-현거주지","","372284",
"면부","6. 농림어업 숙련 종사자","여-근무지","","380929",
"면부","7. 기능원 및 관련 기능 종사자","취업인구-현거주지","","169419",
"면부","7. 기능원 및 관련 기능 종사자","취업인구-근무지","","242144",
"면부","7. 기능원 및 관련 기능 종사자","남-현거주지","","142448",
"면부","7. 기능원 및 관련 기능 종사자","남-근무지","","209122",
"면부","7. 기능원 및 관련 기능 종사자","여-현거주지","","26971",
"면부","7. 기능원 및 관련 기능 종사자","여-근무지","","33022",
"면부","8. 장치, 기계조작 및 조립 종사자","취업인구-현거주지","","280156",
"면부","8. 장치, 기계조작 및 조립 종사자","취업인구-근무지","","470565",
"면부","8. 장치, 기계조작 및 조립 종사자","남-현거주지","","224933",
"면부","8. 장치, 기계조작 및 조립 종사자","남-근무지","","377457",
"면부","8. 장치, 기계조작 및 조립 종사자","여-현거주지","","55223",
"면부","8. 장치, 기계조작 및 조립 종사자","여-근무지","","93108",
"면부","9. 단순 노무 종사자","취업인구-현거주지","","399228",
"면부","9. 단순 노무 종사자","취업인구-근무지","","444146",
"면부","9. 단순 노무 종사자","남-현거주지","","223895",
"면부","9. 단순 노무 종사자","남-근무지","","254699",
"면부","9. 단순 노무 종사자","여-현거주지","","175333",
"면부","9. 단순 노무 종사자","여-근무지","","189447",
"면부","A. 기타","취업인구-현거주지","","24608",
"면부","A. 기타","취업인구-근무지","","33336",
"면부","A. 기타","남-현거주지","","23566",
"면부","A. 기타","남-근무지","","31946",
"면부","A. 기타","여-현거주지","","1042",
"면부","A. 기타","여-근무지","","1390",
