"시군구별(1)",시군구별(2),2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 3/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4,2020 4/4
"시군구별(1)",시군구별(2),계,계,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,중환자실,중환자실,격리병실,격리병실,무균치료실,무균치료실,계,계,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,일반입원실,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,정신과폐쇄,중환자실,중환자실,중환자실,중환자실,중환자실,중환자실,격리병실,격리병실,무균치료실,무균치료실
"시군구별(1)",시군구별(2),소계,소계,소계,소계,상급,상급,일반,일반,외국인전용,외국인전용,소계,소계,상급,상급,일반,일반,소계,소계,성인소아,성인소아,신생아,신생아,소계,소계,소계,소계,소계,소계,소계,소계,상급,상급,일반,일반,외국인전용,외국인전용,소계,소계,상급,상급,일반,일반,소계,소계,성인소아,성인소아,신생아,신생아,소계,소계,소계,소계
"시군구별(1)",시군구별(2),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소),병실수 (개소),병상수 (개소)
"서울",금천구,573,2210,537,1976,90,126,447,1850,0,0,32,203,0,0,32,203,2,27,2,27,0,0,2,4,0,0,580,2220,544,1986,97,136,447,1850,0,0,32,203,0,0,32,203,2,27,2,27,0,0,2,4,0,0
"부산",소계,18004,70627,16788,63723,4477,6765,12311,56958,0,0,950,5675,6,6,944,5669,92,870,77,713,15,157,156,333,18,26,18072,70748,16867,63793,4500,6772,12367,57021,0,0,958,5720,6,6,952,5714,70,869,59,712,11,157,159,340,18,26
"부산",남구,838,3391,743,2782,176,247,567,2535,0,0,88,579,0,0,88,579,3,25,2,8,1,17,4,5,0,0,832,3376,737,2767,172,240,565,2527,0,0,88,579,0,0,88,579,3,25,2,8,1,17,4,5,0,0
"부산",동구,774,2991,736,2818,154,224,582,2594,0,0,21,92,1,1,20,91,8,51,3,26,5,25,9,30,0,0,774,2988,736,2815,152,222,584,2593,0,0,21,92,1,1,20,91,8,51,3,26,5,25,9,30,0,0
"부산",동래구,1530,6016,1447,5564,401,614,1046,4950,0,0,72,397,0,0,72,397,3,42,3,42,0,0,8,13,0,0,1538,6052,1455,5600,402,616,1053,4984,0,0,72,397,0,0,72,397,3,42,3,42,0,0,8,13,0,0
"부산",진구,2091,7584,2023,7334,560,765,1463,6569,0,0,5,20,0,0,5,20,25,138,20,103,5,35,34,88,4,4,2074,7562,2025,7312,562,770,1463,6542,0,0,5,20,0,0,5,20,6,138,5,103,1,35,34,88,4,4
"부산",북구,1189,4627,1143,4283,261,419,882,3864,0,0,34,292,0,0,34,292,2,25,2,25,0,0,10,27,0,0,1165,4582,1119,4238,243,401,876,3837,0,0,34,292,0,0,34,292,2,25,2,25,0,0,10,27,0,0
"부산",서구,1500,5433,1391,4837,287,379,1104,4458,0,0,47,226,3,3,44,223,25,302,22,247,3,55,27,50,10,18,1496,5432,1390,4834,287,379,1103,4455,0,0,47,226,3,3,44,223,22,304,19,249,3,55,27,50,10,18
"부산",영도구,464,1942,459,1918,110,168,349,1750,0,0,0,0,0,0,0,0,2,21,2,21,0,0,3,3,0,0,465,1943,460,1919,111,169,349,1750,0,0,0,0,0,0,0,0,2,21,2,21,0,0,3,3,0,0
"부산",중구,457,1678,447,1654,115,171,332,1483,0,0,0,0,0,0,0,0,4,18,4,18,0,0,6,6,0,0,497,1760,487,1736,126,185,361,1551,0,0,0,0,0,0,0,0,4,18,4,18,0,0,6,6,0,0
"부산",해운대구,1619,6057,1524,5531,476,717,1048,4814,0,0,75,410,0,0,75,410,4,95,3,70,1,25,12,17,4,4,1593,5997,1498,5471,460,680,1038,4791,0,0,75,410,0,0,75,410,4,95,3,70,1,25,12,17,4,4
"부산",사하구,1831,7318,1722,6682,536,863,1186,5819,0,0,107,628,2,2,105,626,1,7,1,7,0,0,1,1,0,0,1837,7315,1725,6674,528,854,1197,5820,0,0,107,628,2,2,105,626,1,5,1,5,0,0,4,8,0,0
"부산",금정구,1419,5866,1261,5084,309,488,952,4596,0,0,148,750,0,0,148,750,8,30,8,30,0,0,2,2,0,0,1419,5866,1261,5084,309,488,952,4596,0,0,148,750,0,0,148,750,8,30,8,30,0,0,2,2,0,0
"부산",강서구,172,423,172,423,87,90,85,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,502,221,502,126,129,95,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"부산",연제구,1133,4899,1038,4297,293,495,745,3802,0,0,86,552,0,0,86,552,1,27,1,27,0,0,8,23,0,0,1134,4885,1039,4283,288,490,751,3793,0,0,86,552,0,0,86,552,1,27,1,27,0,0,8,23,0,0
"부산",수영구,1110,4219,1086,4132,330,528,756,3604,0,0,0,0,0,0,0,0,3,39,3,39,0,0,21,48,0,0,1110,4219,1086,4132,330,528,756,3604,0,0,0,0,0,0,0,0,3,39,3,39,0,0,21,48,0,0
"부산",사상구,1366,6499,1087,4709,229,386,858,4323,0,0,267,1729,0,0,267,1729,2,42,2,42,0,0,10,19,0,0,1376,6522,1089,4688,231,388,858,4300,0,0,275,1774,0,0,275,1774,2,41,2,41,0,0,10,19,0,0
"부산",기장군,511,1684,509,1675,153,211,356,1464,0,0,0,0,0,0,0,0,1,8,1,8,0,0,1,1,0,0,541,1747,539,1738,173,233,366,1505,0,0,0,0,0,0,0,0,1,8,1,8,0,0,1,1,0,0
"대구",소계,9238,38723,8493,34386,2082,2625,6411,31761,0,0,561,3450,16,16,545,3434,55,556,34,402,21,154,114,315,15,16,9456,39361,8703,34984,2122,2667,6581,32317,0,0,568,3474,18,18,550,3456,55,558,34,404,21,154,115,329,15,16
"대구",남구,1199,4926,1151,4667,264,297,887,4370,0,0,8,20,4,4,4,16,19,176,9,127,10,49,15,57,6,6,1204,4946,1149,4663,259,292,890,4371,0,0,15,44,6,6,9,38,19,176,9,127,10,49,15,57,6,6
"대구",동구,879,3745,803,3300,200,282,603,3018,0,0,57,365,0,0,57,365,7,67,4,45,3,22,9,9,3,4,979,4030,903,3585,229,311,674,3274,0,0,57,365,0,0,57,365,7,67,4,45,3,22,9,9,3,4
