"시군구별(1)","시군구별(2)",성별(1),2017,2017,2017,2017,2017,2017,2017,2017
"시군구별(1)","시군구별(2)",성별(1),당뇨병,당뇨병,당뇨병,당뇨병,고혈압,고혈압,고혈압,고혈압
"시군구별(1)","시군구별(2)",성별(1),소계,정상,공복혈당장애,당뇨병,소계,정상,고혈압전단계,고혈압
"부산","사상구",남자,966,107,345,514,1132,95,429,608
"부산","사상구",여자,319,44,111,164,485,68,187,230
"부산","기장군",합계,600,91,201,308,731,64,295,372
"부산","기장군",남자,466,75,151,240,552,39,231,282
"부산","기장군",여자,134,16,50,68,179,25,64,90
"대구","소계",합계,9212,1191,3161,4860,14900,1282,5783,7835
"대구","소계",남자,6556,809,2233,3514,10054,685,3726,5643
"대구","소계",여자,2656,382,928,1346,4846,597,2057,2192
"대구","중구",합계,253,40,74,139,383,41,157,185
"대구","중구",남자,174,28,58,88,239,20,98,121
"대구","중구",여자,79,12,16,51,144,21,59,64
"대구","동구",합계,1294,171,447,676,2004,158,825,1021
"대구","동구",남자,906,124,315,467,1298,91,528,679
"대구","동구",여자,388,47,132,209,706,67,297,342
"대구","서구",합계,897,139,287,471,1439,91,584,764
"대구","서구",남자,620,96,186,338,916,36,342,538
"대구","서구",여자,277,43,101,133,523,55,242,226
"대구","남구",합계,620,51,206,363,771,57,313,401
"대구","남구",남자,416,30,144,242,511,26,201,284
"대구","남구",여자,204,21,62,121,260,31,112,117
"대구","북구",합계,1640,197,565,878,2402,194,903,1305
"대구","북구",남자,1141,136,381,624,1665,107,591,967
"대구","북구",여자,499,61,184,254,737,87,312,338
"대구","수성구",합계,1256,158,448,650,2056,187,841,1028
"대구","수성구",남자,916,101,323,492,1374,105,538,731
"대구","수성구",여자,340,57,125,158,682,82,303,297
"대구","달서구",합계,2297,297,796,1204,4208,438,1528,2242
"대구","달서구",남자,1659,203,576,880,2822,238,973,1611
"대구","달서구",여자,638,94,220,324,1386,200,555,631
"대구","달성군",합계,955,138,338,479,1637,116,632,889
"대구","달성군",남자,724,91,250,383,1229,62,455,712
"대구","달성군",여자,231,47,88,96,408,54,177,177
"인천","소계",합계,12138,1296,4044,6798,18119,1510,6307,10302
"인천","소계",남자,9059,902,2951,5206,13389,981,4528,7880
"인천","소계",여자,3079,394,1093,1592,4730,529,1779,2422
"인천","중구",합계,524,51,179,294,732,45,290,397
"인천","중구",남자,384,31,120,233,566,32,221,313
"인천","중구",여자,140,20,59,61,166,13,69,84
"인천","동구",합계,358,58,116,184,431,38,152,241
"인천","동구",남자,274,40,84,150,332,24,121,187
"인천","동구",여자,84,18,32,34,99,14,31,54
"인천","남구",합계,2017,201,695,1121,2735,244,918,1573
"인천","남구",남자,1473,147,485,841,2001,163,641,1197
"인천","남구",여자,544,54,210,280,734,81,277,376
"인천","연수구",합계,1109,112,394,603,1843,138,660,1045
"인천","연수구",남자,860,81,301,478,1453,93,502,858
"인천","연수구",여자,249,31,93,125,390,45,158,187
"인천","남동구",합계,2229,235,766,1228,3654,307,1223,2124
"인천","남동구",남자,1681,168,570,943,2701,191,885,1625
"인천","남동구",여자,548,67,196,285,953,116,338,499
"인천","부평구",합계,2214,277,687,1250,3162,258,1082,1822
"인천","부평구",남자,1632,185,507,940,2277,163,774,1340
"인천","부평구",여자,582,92,180,310,885,95,308,482
"인천","계양구",합계,1350,145,427,778,2084,187,785,1112
"인천","계양구",남자,1006,96,319,591,1475,120,520,835
"인천","계양구",여자,344,49,108,187,609,67,265,277
"인천","서구",합계,2081,193,682,1206,3048,253,1020,1775
"인천","서구",남자,1572,138,495,939,2268,165,741,1362
"인천","서구",여자,509,55,187,267,780,88,279,413
"인천","강화군",합계,172,15,63,94,294,26,121,147
"인천","강화군",남자,118,9,46,63,199,17,77,105
"인천","강화군",여자,54,6,17,31,95,9,44,42
"인천","옹진군",합계,84,9,35,40,136,14,56,66
"인천","옹진군",남자,59,7,24,28,117,13,46,58
"인천","옹진군",여자,25,2,11,12,19,1,10,8
"광주","소계",합계,6082,794,2259,3029,5029,506,1704,2819
"광주","소계",남자,4506,533,1664,2309,3526,292,1248,1986
"광주","소계",여자,1576,261,595,720,1503,214,456,833
"광주","동구",합계,370,56,131,183,321,34,98,189
"광주","동구",남자,241,35,87,119,213,19,56,138
"광주","동구",여자,129,21,44,64,108,15,42,51
"광주","서구",합계,1402,166,504,732,1073,101,323,649
"광주","서구",남자,1035,106,364,565,723,52,253,418
"광주","서구",여자,367,60,140,167,350,49,70,231
"광주","남구",합계,801,102,285,414,702,52,247,403
"광주","남구",남자,566,66,195,305,456,28,157,271
"광주","남구",여자,235,36,90,109,246,24,90,132
"광주","북구",합계,1680,209,657,814,1322,137,465,720
"광주","북구",남자,1228,139,486,603,907,83,328,496
"광주","북구",여자,452,70,171,211,415,54,137,224
"광주","광산구",합계,1829,261,682,886,1611,182,571,858
"광주","광산구",남자,1436,187,532,717,1227,110,454,663
"광주","광산구",여자,393,74,150,169,384,72,117,195
"대전","소계",합계,5641,525,2012,3104,11475,742,4254,6479
"대전","소계",남자,4093,392,1445,2256,8095,408,2895,4792
"대전","소계",여자,1548,133,567,848,3380,334,1359,1687
"대전","동구",합계,877,59,295,523,1578,88,591,899
"대전","동구",남자,626,50,206,370,1108,50,386,672
"대전","동구",여자,251,9,89,153,470,38,205,227
"대전","중구",합계,1031,109,337,585,1797,138,693,966
"대전","중구",남자,707,78,228,401,1170,76,442,652
"대전","중구",여자,324,31,109,184,627,62,251,314
"대전","서구",합계,1716,146,597,973,3351,235,1217,1899
"대전","서구",남자,1222,102,420,700,2301,121,803,1377
"대전","서구",여자,494,44,177,273,1050,114,414,522
"대전","유성구",합계,1097,116,421,560,2795,164,1007,1624
"대전","유성구",남자,866,93,335,438,2112,95,744,1273
"대전","유성구",여자,231,23,86,122,683,69,263,351
"대전","대덕구",합계,920,95,362,463,1954,117,746,1091
"대전","대덕구",남자,672,69,256,347,1404,66,520,818
"대전","대덕구",여자,248,26,106,116,550,51,226,273
"울산","소계",합계,8039,1726,2596,3717,8939,817,4053,4069
"울산","소계",남자,6722,1464,2178,3080,7142,622,3353,3167
"울산","소계",여자,1317,262,418,637,1797,195,700,902
"울산","중구",합계,1674,305,537,832,2097,185,938,974
"울산","중구",남자,1373,260,440,673,1602,130,753,719
"울산","중구",여자,301,45,97,159,495,55,185,255
"울산","남구",합계,2204,529,674,1001,2578,249,1125,1204
"울산","남구",남자,1847,455,560,832,2039,192,911,936
"울산","남구",여자,357,74,114,169,539,57,214,268
"울산","동구",합계,1277,254,434,589,1013,93,489,431
"울산","동구",남자,1070,215,369,486,764,68,396,300
"울산","동구",여자,207,39,65,103,249,25,93,131
"울산","북구",합계,1473,283,508,682,2023,171,1011,841
"울산","북구",남자,1263,233,444,586,1724,139,886,699
"울산","북구",여자,210,50,64,96,299,32,125,142
"울산","울주군",합계,1411,355,443,613,1228,119,490,619
"울산","울주군",남자,1169,301,365,503,1013,93,407,513
"울산","울주군",여자,242,54,78,110,215,26,83,106
"세종","소계",합계,834,146,283,405,1790,153,688,949
"세종","소계",남자,617,100,209,308,1357,99,512,746
"세종","소계",여자,217,46,74,97,433,54,176,203
"경기","소계",합계,45595,5225,15765,24605,83545,8147,29089,46309
"경기","소계",남자,33799,3953,11449,18397,59521,5090,20111,34320
"경기","소계",여자,11796,1272,4316,6208,24024,3057,8978,11989
"경기","수원시장안구",합계,1219,140,448,631,1898,191,629,1078
"경기","수원시장안구",남자,894,111,321,462,1350,127,436,787
"경기","수원시장안구",여자,325,29,127,169,548,64,193,291
"경기","수원시권선구",합계,1388,155,469,764,2868,347,1010,1511
"경기","수원시권선구",남자,1033,118,349,566,2002,187,695,1120
"경기","수원시권선구",여자,355,37,120,198,866,160,315,391
"경기","수원시팔달구",합계,824,124,279,421,1262,139,390,733
"경기","수원시팔달구",남자,591,99,195,297,879,85,267,527
"경기","수원시팔달구",여자,233,25,84,124,383,54,123,206
"경기","수원시영통구",합계,1067,113,362,592,2401,207,785,1409
"경기","수원시영통구",남자,857,98,272,487,1971,137,624,1210
"경기","수원시영통구",여자,210,15,90,105,430,70,161,199
"경기","성남시수정구",합계,944,83,316,545,1597,171,591,835
"경기","성남시수정구",남자,654,65,216,373,1027,92,377,558
"경기","성남시수정구",여자,290,18,100,172,570,79,214,277
"경기","성남시중원구",합계,1038,93,363,582,1733,175,655,903
"경기","성남시중원구",남자,739,68,264,407,1105,83,402,620
"경기","성남시중원구",여자,299,25,99,175,628,92,253,283
"경기","성남시분당구",합계,1159,114,399,646,2264,191,806,1267
"경기","성남시분당구",남자,869,85,297,487,1640,119,565,956
"경기","성남시분당구",여자,290,29,102,159,624,72,241,311
"경기","의정부시",합계,1678,174,579,925,2963,284,1101,1578
"경기","의정부시",남자,1170,114,380,676,1978,144,727,1107
"경기","의정부시",여자,508,60,199,249,985,140,374,471
"경기","안양시만안구",합계,1144,106,411,627,1871,132,634,1105
"경기","안양시만안구",남자,822,77,294,451,1290,82,423,785
"경기","안양시만안구",여자,322,29,117,176,581,50,211,320
"경기","안양시동안구",합계,1400,127,526,747,2174,155,736,1283
"경기","안양시동안구",남자,1000,92,358,550,1502,98,487,917
"경기","안양시동안구",여자,400,35,168,197,672,57,249,366
"경기","부천시",합계,3030,330,1026,1674,5784,509,1994,3281
"경기","부천시",남자,2133,229,717,1187,3779,283,1260,2236
"경기","부천시",여자,897,101,309,487,2005,226,734,1045
"경기","광명시",합계,1214,107,431,676,2224,209,816,1199
"경기","광명시",남자,888,82,306,500,1565,122,556,887
"경기","광명시",여자,326,25,125,176,659,87,260,312
"경기","평택시",합계,2083,365,638,1080,3294,409,1100,1785
"경기","평택시",남자,1618,278,494,846,2612,295,846,1471
"경기","평택시",여자,465,87,144,234,682,114,254,314
"경기","동두천시",합계,464,43,164,257,806,96,253,457
