"상반기","대구","북구",합계,4039,1498,206,33,2302,8
"상반기","대구","북구",남자,2213,761,117,22,1313,7
"상반기","대구","북구",여자,1826,737,89,11,989,1
"상반기","대구","수성구",합계,3923,1462,249,24,2188,9
"상반기","대구","수성구",남자,2136,713,160,11,1252,7
"상반기","대구","수성구",여자,1787,749,89,13,936,2
"상반기","대구","달서구",합계,5040,1896,454,49,2641,8
"상반기","대구","달서구",남자,2619,925,249,32,1413,2
"상반기","대구","달서구",여자,2421,971,205,17,1228,6
"상반기","대구","달성군",합계,1905,572,175,16,1142,2
"상반기","대구","달성군",남자,1056,296,101,7,652,2
"상반기","대구","달성군",여자,849,276,74,9,490,-
"상반기","인천","소계",합계,20009,7362,3043,150,9454,69
"상반기","인천","소계",남자,10735,3617,1806,95,5217,47
"상반기","인천","소계",여자,9274,3745,1237,55,4237,22
"상반기","인천","중구",합계,752,295,149,4,304,3
"상반기","인천","중구",남자,426,144,106,3,173,2
"상반기","인천","중구",여자,326,151,43,1,131,1
"상반기","인천","동구",합계,509,181,139,4,185,2
"상반기","인천","동구",남자,289,93,82,2,112,2
"상반기","인천","동구",여자,220,88,57,2,73,-
"상반기","인천","미추홀구",합계,2857,1081,501,25,1250,13
"상반기","인천","미추홀구",남자,1526,517,282,18,709,11
"상반기","인천","미추홀구",여자,1331,564,219,7,541,2
"상반기","인천","연수구",합계,2347,883,332,13,1119,4
"상반기","인천","연수구",남자,1214,404,197,8,605,4
"상반기","인천","연수구",여자,1133,479,135,5,514,-
"상반기","인천","남동구",합계,3887,1571,463,33,1820,14
"상반기","인천","남동구",남자,2109,814,266,16,1013,10
"상반기","인천","남동구",여자,1778,757,197,17,807,4
"상반기","인천","부평구",합계,3657,1253,385,30,1989,14
"상반기","인천","부평구",남자,1890,612,236,18,1024,5
"상반기","인천","부평구",여자,1767,641,149,12,965,9
"상반기","인천","계양구",합계,1964,593,427,8,936,7
"상반기","인천","계양구",남자,1050,290,263,4,493,5
"상반기","인천","계양구",여자,914,303,164,4,443,2
"상반기","인천","서구",합계,3403,1243,574,25,1561,9
"상반기","인천","서구",남자,1868,608,329,20,911,6
"상반기","인천","서구",여자,1535,635,245,5,650,3
"상반기","인천","강화군",합계,469,207,39,7,216,3
"상반기","인천","강화군",남자,262,101,25,5,131,2
"상반기","인천","강화군",여자,207,106,14,2,85,1
"상반기","인천","옹진군",합계,164,55,34,1,74,-
"상반기","인천","옹진군",남자,101,34,20,1,46,-
"상반기","인천","옹진군",여자,63,21,14,-,28,-
"상반기","광주","소계",합계,12095,5882,1544,97,4572,23
"상반기","광주","소계",남자,6754,3065,969,62,2658,18
"상반기","광주","소계",여자,5341,2817,575,35,1914,5
"상반기","광주","동구",합계,743,343,103,10,287,1
"상반기","광주","동구",남자,440,200,67,6,167,-
"상반기","광주","동구",여자,303,143,36,4,120,1
"상반기","광주","서구",합계,2559,1013,352,18,1176,6
"상반기","광주","서구",남자,1378,488,209,13,668,4
"상반기","광주","서구",여자,1181,525,143,5,508,2
"상반기","광주","남구",합계,1709,814,183,21,691,6
"상반기","광주","남구",남자,926,414,108,10,394,5
"상반기","광주","남구",여자,783,400,75,11,297,1
"상반기","광주","북구",합계,3704,1761,523,29,1391,7
"상반기","광주","북구",남자,2051,901,328,19,803,6
"상반기","광주","북구",여자,1653,860,195,10,588,1
"상반기","광주","광산구",합계,3380,1951,383,19,1027,3
"상반기","광주","광산구",남자,1959,1062,257,14,626,3
"상반기","광주","광산구",여자,1421,889,126,5,401,-
"상반기","대전","소계",합계,10590,4510,815,59,5206,46
"상반기","대전","소계",남자,5579,2239,485,40,2815,30
"상반기","대전","소계",여자,5011,2271,330,19,2391,16
"상반기","대전","동구",합계,1683,618,119,8,938,9
"상반기","대전","동구",남자,853,302,60,6,485,6
"상반기","대전","동구",여자,830,316,59,2,453,3
"상반기","대전","중구",합계,1787,621,142,17,1007,6
"상반기","대전","중구",남자,919,305,85,11,518,4
"상반기","대전","중구",여자,868,316,57,6,489,2
"상반기","대전","서구",합계,3407,1624,273,17,1493,20
"상반기","대전","서구",남자,1805,800,162,13,830,15
