"행정구역별(시군구)","성별",2015,2015,2015,2015,2015,2015
"행정구역별(시군구)","성별",취업인구(15세 이상)-계,임금 근로자,고용원이 없는 자영업자,고용원이 있는 자영업자,무급 가족 종사자,미상
"읍부","여자",24822,18337,3610,1078,1797,
"면부","계",32283,21548,7014,1538,2183,
"면부","남자",19760,13634,4782,1056,288,
"면부","여자",12523,7914,2232,482,1895,
"중구","계",111022,86510,15251,6811,2450,
"중구","남자",69929,55629,9117,4629,554,
"중구","여자",41093,30881,6134,2182,1896,
"남구","계",160949,126629,19599,11292,3429,
"남구","남자",100374,80603,11411,7714,646,
"남구","여자",60575,46026,8188,3578,2783,
"동구","계",83468,73923,5953,2546,1046,
"동구","남자",58653,53901,3002,1468,282,
"동구","여자",24815,20022,2951,1078,764,
"북구","계",87673,72823,8727,4498,1625,
"북구","남자",58204,49523,5395,2996,290,
"북구","여자",29469,23300,3332,1502,1335,
"울주군","계",101029,74957,16755,5052,4265,
"울주군","남자",63684,48706,10913,3492,573,
"울주군","여자",37345,26251,5842,1560,3692,
"세종특별자치시","계",94092,71083,14016,4619,4374,
"세종특별자치시","남자",56411,43120,9455,3162,674,
"세종특별자치시","여자",37681,27963,4561,1457,3700,
"동부","계",45865,39053,3864,2387,561,
"동부","남자",27468,23546,2180,1618,124,
"동부","여자",18397,15507,1684,769,437,
"읍부","계",21905,16659,3170,1214,862,
"읍부","남자",12907,9796,2136,807,168,
"읍부","여자",8998,6863,1034,407,694,
"면부","계",26322,15371,6982,1018,2951,
"면부","남자",16036,9778,5139,737,382,
"면부","여자",10286,5593,1843,281,2569,
"세종시","계",94092,71083,14016,4619,4374,
"세종시","남자",56411,43120,9455,3162,674,
"세종시","여자",37681,27963,4561,1457,3700,
"경기도","계",5840805,4465775,804104,411549,159377,
"경기도","남자",3501467,2614611,554110,300935,31811,
"경기도","여자",2339338,1851164,249994,110614,127566,
"동부","계",4822366,3764348,608372,347472,102174,
"동부","남자",2874041,2188214,410293,253485,22049,
"동부","여자",1948325,1576134,198079,93987,80125,
"읍부","계",596180,438394,95125,40181,22480,
"읍부","남자",365706,263464,68481,29738,4023,
"읍부","여자",230474,174930,26644,10443,18457,
"면부","계",422259,263033,100607,23896,34723,
"면부","남자",261720,162933,75336,17712,5739,
"면부","여자",160539,100100,25271,6184,28984,
"수원시","계",559300,452006,62461,34284,10549,
"수원시","남자",333239,266059,40620,24030,2530,
"수원시","여자",226061,185947,21841,10254,8019,
"장안구","계",136723,109521,16286,8297,2619,
"장안구","남자",81127,63962,10687,5833,645,
"장안구","여자",55596,45559,5599,2464,1974,
"권선구","계",168189,135175,19901,9760,3353,
"권선구","남자",99845,78474,13712,6834,825,
"권선구","여자",68344,56701,6189,2926,2528,
"팔달구","계",94958,75000,12250,5652,2056,
"팔달구","남자",55467,43260,7826,3892,489,
"팔달구","여자",39491,31740,4424,1760,1567,
"영통구","계",159430,132310,14024,10575,2521,
"영통구","남자",96800,80363,8395,7471,571,
"영통구","여자",62630,51947,5629,3104,1950,
"성남시","계",453340,361494,50149,34178,7519,
"성남시","남자",265370,206187,32366,25038,1779,
"성남시","여자",187970,155307,17783,9140,5740,
"수정구","계",110307,89696,13233,5179,2199,
"수정구","남자",63874,51105,8672,3566,531,
"수정구","여자",46433,38591,4561,1613,1668,
"중원구","계",125765,100810,16198,6393,2364,
"중원구","남자",72239,56163,10994,4532,550,
"중원구","여자",53526,44647,5204,1861,1814,
"분당구","계",217268,170988,20718,22606,2956,
"분당구","남자",129257,98919,12700,16940,698,
"분당구","여자",88011,72069,8018,5666,2258,
"의정부시","계",193795,148836,27335,12995,4629,
"의정부시","남자",113178,83247,19709,9407,815,
"의정부시","여자",80617,65589,7626,3588,3814,
"안양시","계",284434,224600,34182,20474,5178,
"안양시","남자",166540,128672,22143,14408,1317,
"안양시","여자",117894,95928,12039,6066,3861,
"만안구","계",119058,94047,14952,7630,2429,
"만안구","남자",69804,53933,10067,5266,538,
"만안구","여자",49254,40114,4885,2364,1891,
"동안구","계",165376,130553,19230,12844,2749,
"동안구","남자",96736,74739,12076,9142,779,
"동안구","여자",68640,55814,7154,3702,1970,
"부천시","계",411306,319470,53238,29464,9134,
"부천시","남자",238450,177762,36473,22300,1915,
"부천시","여자",172856,141708,16765,7164,7219,
"원미구","계",216372,167747,26573,17423,4629,
"원미구","남자",124564,92554,17758,13259,993,
"원미구","여자",91808,75193,8815,4164,3636,
"소사구","계",106200,83614,13610,6488,2488,
"소사구","남자",61622,46960,9345,4850,467,
"소사구","여자",44578,36654,4265,1638,2021,
"오정구","계",88734,68109,13055,5553,2017,
"오정구","남자",52264,38248,9370,4191,455,
"오정구","여자",36470,29861,3685,1362,1562,
"광명시","계",158096,123586,20952,10506,3052,
"광명시","남자",92966,70452,14153,7592,769,
"광명시","여자",65130,53134,6799,2914,2283,
"평택시","계",215905,165709,31742,11670,6784,
"평택시","남자",134185,102838,22041,8136,1170,
"평택시","여자",81720,62871,9701,3534,5614,
"동두천시","계",42861,32401,6378,2556,1526,
"동두천시","남자",25111,18707,4348,1761,295,
"동두천시","여자",17750,13694,2030,795,1231,
"안산시","계",338478,264004,44203,22485,7786,
"안산시","남자",204957,156053,30623,16611,1670,
"안산시","여자",133521,107951,13580,5874,6116,
"상록구","계",177645,137110,24512,12249,3774,
"상록구","남자",107375,80558,17040,8952,825,
"상록구","여자",70270,56552,7472,3297,2949,
"단원구","계",160833,126894,19691,10236,4012,
"단원구","남자",97582,75495,13583,7659,845,
"단원구","여자",63251,51399,6108,2577,3167,
"고양시","계",456561,343380,63606,39601,9974,
"고양시","남자",268494,194646,42680,29054,2114,
"고양시","여자",188067,148734,20926,10547,7860,
"덕양구","계",198104,151733,27980,14252,4139,
"덕양구","남자",117124,86823,19252,10189,860,
"덕양구","여자",80980,64910,8728,4063,3279,
"일산동구","계",130866,96095,18512,13341,2918,
"일산동구","남자",75717,53007,12094,9960,656,
"일산동구","여자",55149,43088,6418,3381,2262,
"일산서구","계",127591,95552,17114,12008,2917,
"일산서구","남자",75653,54816,11334,8905,598,
"일산서구","여자",51938,40736,5780,3103,2319,
"과천시","계",29603,23513,3094,2486,510,
"과천시","남자",17153,13414,1802,1825,112,
"과천시","여자",12450,10099,1292,661,398,
"구리시","계",85852,64554,12490,6889,1919,
"구리시","남자",50219,36087,8787,5003,342,
"구리시","여자",35633,28467,3703,1886,1577,
"남양주시","계",289767,206896,48300,24969,9602,
"남양주시","남자",174413,119535,33989,18746,2143,
"남양주시","여자",115354,87361,14311,6223,7459,
"오산시","계",99824,81873,10617,5493,1841,
"오산시","남자",61861,50122,7492,3945,302,
"오산시","여자",37963,31751,3125,1548,1539,
"시흥시","계",196848,150242,27350,14459,4797,
"시흥시","남자",123477,91828,19581,11044,1024,
"시흥시","여자",73371,58414,7769,3415,3773,
"군포시","계",136012,110441,14580,8630,2361,
"군포시","남자",79906,63272,9757,6428,449,
"군포시","여자",56106,47169,4823,2202,1912,
"의왕시","계",74008,56864,9615,5754,1775,
"의왕시","남자",44054,33019,6391,4230,414,
"의왕시","여자",29954,23845,3224,1524,1361,
"하남시","계",75063,55321,11542,5971,2229,
"하남시","남자",45155,31680,8410,4589,476,
"하남시","여자",29908,23641,3132,1382,1753,
"용인시","계",430075,335878,51886,33907,8404,
"용인시","남자",261593,201336,33740,24609,1908,
"용인시","여자",168482,134542,18146,9298,6496,
"처인구","계",107810,80607,17199,6742,3262,
"처인구","남자",64408,46679,12096,4966,667,
"처인구","여자",43402,33928,5103,1776,2595,
"기흥구","계",181869,144873,20081,14004,2911,
"기흥구","남자",110543,87232,12780,9785,746,
"기흥구","여자",71326,57641,7301,4219,2165,
"수지구","계",140396,110398,14606,13161,2231,
"수지구","남자",86642,67425,8864,9858,495,
"수지구","여자",53754,42973,5742,3303,1736,
"파주시","계",195970,148708,28456,12809,5997,
"파주시","남자",119490,89270,19921,9220,1079,
"파주시","여자",76480,59438,8535,3589,4918,
"이천시","계",104962,76059,18427,5252,5224,
"이천시","남자",60685,42582,13576,3709,818,
"이천시","여자",44277,33477,4851,1543,4406,
"안성시","계",93012,64945,17888,4658,5521,
"안성시","남자",55690,38319,13207,3296,868,
"안성시","여자",37322,26626,4681,1362,4653,
"김포시","계",160320,116533,24817,13377,5593,
"김포시","남자",98713,70097,17303,10226,1087,
"김포시","여자",61607,46436,7514,3151,4506,
"화성시","계",286538,220451,38120,18017,9950,
"화성시","남자",182073,140828,26452,13255,1538,
"화성시","여자",104465,79623,11668,4762,8412,
"광주시","계",151191,111155,23675,11472,4889,
"광주시","남자",92677,66019,17197,8396,1065,
"광주시","여자",58514,45136,6478,3076,3824,
"양주시","계",93971,68175,15753,6199,3844,
"양주시","남자",57199,40590,11481,4451,677,
"양주시","여자",36772,27585,4272,1748,3167,
"포천시","계",75887,51223,14687,4397,5580,
"포천시","남자",46549,30973,11153,3332,1091,
"포천시","여자",29338,20250,3534,1065,4489,
