행정구역별,,20세이상 인구-계,사회분야단체,경제분야단체,문화분야단체,정치분야단체,종교분야단체,지역단체,친목단체,교육단체,기타,없음,,,,,,,,,,
대구광역시,북구,344776,13616,3571,34964,812,20520,5120,67448,7389,134,231603,0.110192124,0.028899535,0.282958095,0.006571387,0.166065099,0.041435346,0.545845945,0.059798003,0.001084441,1.874326271
대구광역시,수성구,331352,17180,5496,41869,1126,29866,5201,74127,11468,75,204738,0.13903501,0.044478255,0.338839163,0.009112539,0.241700791,0.042090866,0.59989803,0.092808701,0.000606963,1.656912096
대구광역시,달서구,464924,19545,5115,47958,1289,27999,6888,87887,10756,42,316495,0.158174579,0.041394882,0.388116472,0.010431672,0.226591457,0.055743489,0.711255523,0.087046599,0.000339899,2.561343735
대구광역시,달성군,142770,5593,2025,13304,375,8130,2772,22913,2568,24,101255,0.04526326,0.016388003,0.107667158,0.003034815,0.065794798,0.022433355,0.185431268,0.020782416,0.000194228,0.819440623
인천광역시,중구,85632,3534,1093,7004,211,6101,1500,11138,1651,26,62143,0.0286001,0.008845475,0.056682259,0.001707589,0.049374423,0.012139262,0.090138064,0.013361281,0.000210414,0.502913423
인천광역시,동구,57266,2087,493,3546,129,3816,783,7142,869,27,43111,0.016889759,0.003989771,0.028697214,0.001043976,0.030882282,0.006336695,0.057799071,0.007032679,0.000218507,0.348890471
인천광역시,남구,323409,8229,2880,18285,537,20746,2447,42735,4222,70,245370,0.066595989,0.023307382,0.147977599,0.004345856,0.167894081,0.019803182,0.345847563,0.034167975,0.000566499,1.985740414
인천광역시,연수구,234125,9660,3090,24010,692,18958,4288,37317,7095,94,160497,0.078176845,0.025006879,0.194309114,0.005600246,0.153424081,0.034702103,0.30200055,0.057418707,0.000760727,1.298876714
인천광역시,남동구,402351,11829,3973,34223,777,29324,5941,55966,7886,291,293401,0.095730217,0.032152858,0.2769613,0.006288138,0.237314472,0.048079569,0.452923943,0.063820145,0.002355017,2.374447664
인천광역시,부평구,428327,12599,4167,33176,777,31243,5039,58766,7948,147,314419,0.101961705,0.033722869,0.268488095,0.006288138,0.252844634,0.040779826,0.475583898,0.064321901,0.001189648,2.544542997
인천광역시,계양구,254232,7743,2443,19334,611,17949,2971,31830,4506,14,189223,0.062662868,0.019770811,0.156466989,0.004944726,0.145258404,0.024043831,0.257595131,0.036466342,0.0001133,1.531351666
인천광역시,서구,369159,11208,4216,29782,1044,25042,5799,47036,7880,129,272426,0.090704563,0.034119418,0.241020993,0.008448926,0.202660926,0.046930385,0.380654873,0.063771588,0.001043976,2.204700322
인천광역시,강화군,52925,2573,648,3635,178,6256,967,11175,1078,10,34226,0.02082288,0.005244161,0.029417477,0.001440526,0.050628814,0.007825777,0.090437499,0.008724083,8.09284E-05,0.276985579
인천광역시,옹진군,15810,825,191,979,57,1541,608,3154,283,12,10441,0.006676594,0.001545733,0.007922891,0.000461292,0.012471068,0.004920447,0.025524821,0.002290274,9.71141E-05,0.084497354
광주광역시,동구,85700,3732,824,6563,335,7919,1176,13610,1550,22,60322,0.030202483,0.006668501,0.053113316,0.002711102,0.064087208,0.009517181,0.110143567,0.012543904,0.000178043,0.488176359
