"마산회원구",627,3.3,398,2.1
"진해구",719,3.7,465,2.4
"의령군",74,2.8,61,2.3
"함안군",177,2.7,136,2.1
"창녕군",171,2.8,115,1.9
"고성군",112,2.2,141,2.7
"남해군",91,2.1,90,2.1
"하동군",109,2.4,99,2.2
"산청군",88,2.5,72,2.1
"함양군",81,2.1,77,2.0
"거창군",168,2.7,109,1.8
"합천군",82,1.9,86,1.9
"제주특별자치도",2981,4.5,1744,2.6
"제주시",2214,4.5,1266,2.6
"서귀포시",767,4.3,478,2.6
"북제주군",,,,
"남제주군",,,,
