"행정구역(시군구)별","연령별","항목","단위","2021. 02 월",
"서울특별시","41세","여자인구수","명","78564",
"서울특별시","42세","총인구수","명","136891",
"서울특별시","42세","남자인구수","명","67845",
"서울특별시","42세","여자인구수","명","69046",
"서울특별시","43세","총인구수","명","140886",
"서울특별시","43세","남자인구수","명","69161",
"서울특별시","43세","여자인구수","명","71725",
"서울특별시","44세","총인구수","명","140209",
"서울특별시","44세","남자인구수","명","69652",
"서울특별시","44세","여자인구수","명","70557",
"서울특별시","45세","총인구수","명","142241",
"서울특별시","45세","남자인구수","명","70229",
"서울특별시","45세","여자인구수","명","72012",
"서울특별시","46세","총인구수","명","153884",
"서울특별시","46세","남자인구수","명","76476",
"서울특별시","46세","여자인구수","명","77408",
"서울특별시","47세","총인구수","명","161181",
"서울특별시","47세","남자인구수","명","78850",
"서울특별시","47세","여자인구수","명","82331",
"서울특별시","48세","총인구수","명","164065",
"서울특별시","48세","남자인구수","명","81426",
"서울특별시","48세","여자인구수","명","82639",
"서울특별시","49세","총인구수","명","171742",
"서울특별시","49세","남자인구수","명","85642",
"서울특별시","49세","여자인구수","명","86100",
"서울특별시","50세","총인구수","명","170600",
"서울특별시","50세","남자인구수","명","84319",
"서울특별시","50세","여자인구수","명","86281",
"서울특별시","51세","총인구수","명","164677",
"서울특별시","51세","남자인구수","명","81529",
"서울특별시","51세","여자인구수","명","83148",
"서울특별시","52세","총인구수","명","163194",
"서울특별시","52세","남자인구수","명","80218",
"서울특별시","52세","여자인구수","명","82976",
"서울특별시","53세","총인구수","명","149819",
"서울특별시","53세","남자인구수","명","72579",
"서울특별시","53세","여자인구수","명","77240",
"서울특별시","54세","총인구수","명","143050",
"서울특별시","54세","남자인구수","명","71718",
"서울특별시","54세","여자인구수","명","71332",
"서울특별시","55세","총인구수","명","145036",
"서울특별시","55세","남자인구수","명","71210",
"서울특별시","55세","여자인구수","명","73826",
"서울특별시","56세","총인구수","명","147378",
"서울특별시","56세","남자인구수","명","72328",
"서울특별시","56세","여자인구수","명","75050",
"서울특별시","57세","총인구수","명","137426",
"서울특별시","57세","남자인구수","명","67668",
"서울특별시","57세","여자인구수","명","69758",
"서울특별시","58세","총인구수","명","147761",
"서울특별시","58세","남자인구수","명","72633",
"서울특별시","58세","여자인구수","명","75128",
"서울특별시","59세","총인구수","명","153888",
"서울특별시","59세","남자인구수","명","74514",
"서울특별시","59세","여자인구수","명","79374",
"서울특별시","60세","총인구수","명","161159",
"서울특별시","60세","남자인구수","명","76681",
"서울특별시","60세","여자인구수","명","84478",
"서울특별시","61세","총인구수","명","151981",
"서울특별시","61세","남자인구수","명","72132",
"서울특별시","61세","여자인구수","명","79849",
"서울특별시","62세","총인구수","명","140377",
"서울특별시","62세","남자인구수","명","67169",
"서울특별시","62세","여자인구수","명","73208",
"서울특별시","63세","총인구수","명","138120",
"서울특별시","63세","남자인구수","명","65758",
"서울특별시","63세","여자인구수","명","72362",
"서울특별시","64세","총인구수","명","127701",
"서울특별시","64세","남자인구수","명","60021",
"서울특별시","64세","여자인구수","명","67680",
"서울특별시","65세","총인구수","명","130850",
"서울특별시","65세","남자인구수","명","61217",
"서울특별시","65세","여자인구수","명","69633",
"서울특별시","66세","총인구수","명","119719",
"서울특별시","66세","남자인구수","명","56287",
"서울특별시","66세","여자인구수","명","63432",
"서울특별시","67세","총인구수","명","99669",
"서울특별시","67세","남자인구수","명","46473",
"서울특별시","67세","여자인구수","명","53196",
"서울특별시","68세","총인구수","명","106396",
"서울특별시","68세","남자인구수","명","49785",
"서울특별시","68세","여자인구수","명","56611",
"서울특별시","69세","총인구수","명","79890",
"서울특별시","69세","남자인구수","명","37286",
"서울특별시","69세","여자인구수","명","42604",
"서울특별시","70세","총인구수","명","82343",
"서울특별시","70세","남자인구수","명","38434",
"서울특별시","70세","여자인구수","명","43909",
"서울특별시","71세","총인구수","명","84800",
"서울특별시","71세","남자인구수","명","38929",
"서울특별시","71세","여자인구수","명","45871",
"서울특별시","72세","총인구수","명","82488",
"서울특별시","72세","남자인구수","명","38015",
"서울특별시","72세","여자인구수","명","44473",
"서울특별시","73세","총인구수","명","82304",
"서울특별시","73세","남자인구수","명","37340",
"서울특별시","73세","여자인구수","명","44964",
"서울특별시","74세","총인구수","명","76082",
"서울특별시","74세","남자인구수","명","34447",
"서울특별시","74세","여자인구수","명","41635",
"서울특별시","75세","총인구수","명","57790",
"서울특별시","75세","남자인구수","명","26186",
"서울특별시","75세","여자인구수","명","31604",
"서울특별시","76세","총인구수","명","60059",
"서울특별시","76세","남자인구수","명","27144",
"서울특별시","76세","여자인구수","명","32915",
"서울특별시","77세","총인구수","명","56105",
"서울특별시","77세","남자인구수","명","24781",
"서울특별시","77세","여자인구수","명","31324",
"서울특별시","78세","총인구수","명","67507",
"서울특별시","78세","남자인구수","명","30815",
"서울특별시","78세","여자인구수","명","36692",
"서울특별시","79세","총인구수","명","56996",
"서울특별시","79세","남자인구수","명","25402",
"서울특별시","79세","여자인구수","명","31594",
"서울특별시","80세","총인구수","명","45821",
"서울특별시","80세","남자인구수","명","20023",
"서울특별시","80세","여자인구수","명","25798",
"서울특별시","81세","총인구수","명","43497",
"서울특별시","81세","남자인구수","명","18520",
"서울특별시","81세","여자인구수","명","24977",
"서울특별시","82세","총인구수","명","38499",
"서울특별시","82세","남자인구수","명","15931",
"서울특별시","82세","여자인구수","명","22568",
"서울특별시","83세","총인구수","명","33577",
"서울특별시","83세","남자인구수","명","13534",
"서울특별시","83세","여자인구수","명","20043",
"서울특별시","84세","총인구수","명","29465",
"서울특별시","84세","남자인구수","명","11248",
"서울특별시","84세","여자인구수","명","18217",
"서울특별시","85세","총인구수","명","26020",
"서울특별시","85세","남자인구수","명","9654",
"서울특별시","85세","여자인구수","명","16366",
"서울특별시","86세","총인구수","명","21715",
"서울특별시","86세","남자인구수","명","7572",
"서울특별시","86세","여자인구수","명","14143",
"서울특별시","87세","총인구수","명","17439",
"서울특별시","87세","남자인구수","명","5824",
"서울특별시","87세","여자인구수","명","11615",
"서울특별시","88세","총인구수","명","14759",
"서울특별시","88세","남자인구수","명","4781",
"서울특별시","88세","여자인구수","명","9978",
"서울특별시","89세","총인구수","명","11740",
"서울특별시","89세","남자인구수","명","3490",
"서울특별시","89세","여자인구수","명","8250",
"서울특별시","90세","총인구수","명","9595",
"서울특별시","90세","남자인구수","명","2645",
"서울특별시","90세","여자인구수","명","6950",
"서울특별시","91세","총인구수","명","8378",
"서울특별시","91세","남자인구수","명","2327",
"서울특별시","91세","여자인구수","명","6051",
"서울특별시","92세","총인구수","명","6827",
"서울특별시","92세","남자인구수","명","1773",
"서울특별시","92세","여자인구수","명","5054",
"서울특별시","93세","총인구수","명","5328",
"서울특별시","93세","남자인구수","명","1316",
"서울특별시","93세","여자인구수","명","4012",
"서울특별시","94세","총인구수","명","3885",
"서울특별시","94세","남자인구수","명","939",
"서울특별시","94세","여자인구수","명","2946",
"서울특별시","95세","총인구수","명","2755",
"서울특별시","95세","남자인구수","명","611",
"서울특별시","95세","여자인구수","명","2144",
"서울특별시","96세","총인구수","명","1985",
"서울특별시","96세","남자인구수","명","503",
"서울특별시","96세","여자인구수","명","1482",
"서울특별시","97세","총인구수","명","1926",
"서울특별시","97세","남자인구수","명","531",
"서울특별시","97세","여자인구수","명","1395",
"서울특별시","98세","총인구수","명","1554",
"서울특별시","98세","남자인구수","명","422",
