"행정구역별(시군구)",2015,2015,2015,2015,2015,2015,2015
"행정구역별(시군구)",5세 이상 인구-계,제약없음-계,제약있음-계,배우기기억하기집중하기,옷입기목욕하기밥먹기집안돌아다니기,장보기병원가기집밖돌아다니기,(16세이상)취업활동
"영동군",47233,42909,4324,1508,1014,2470,1755
"진천군",63163,59395,3768,1811,1379,2438,1240
"괴산군",36693,32857,3836,1626,1338,2758,1448
"음성군",89585,84015,5570,2657,1761,4178,2286
"단양군",27666,24866,2800,1059,706,1724,1045
"증평군",33068,30719,2349,1389,629,1353,904
"충청남도",1940811,1834619,106192,42162,30204,69799,39223
"동부",857198,829947,27251,10811,8431,17300,9362
"읍부",450028,426615,23413,9437,6277,14588,9593
"면부",633585,578057,55528,21914,15496,37911,20268
"천안시",572935,554908,18027,6979,5467,11737,7348
"동남구",254616,245024,9592,3802,3112,6324,4100
"서북구",318319,309884,8435,3177,2355,5413,3248
"공주시",108003,98810,9193,3283,2496,5626,3690
"보령시",95453,88181,7272,3048,1764,4738,2244
"아산시",284744,273676,11068,4361,3164,7246,3971
"서산시",155336,147612,7724,3396,2589,5162,2816
"논산시",116305,107271,9034,3293,2538,6256,3684
"계룡시",36251,35118,1133,582,433,772,571
"당진시",147941,141323,6618,2853,2137,4730,1602
"금산군",52988,48534,4454,1388,1175,3087,1329
"부여군",65999,59911,6088,2493,1743,4121,2434
"서천군",51987,47118,4869,1798,1367,2855,2276
"청양군",30558,27148,3410,1588,1092,2397,927
"홍성군",88636,82077,6559,2406,1698,4082,2856
"예산군",77396,70470,6926,3195,1623,4328,2496
"태안군",56279,52462,3817,1499,918,2662,979
"전라북도",1719666,1609862,109804,45392,30576,67338,40834
"동부",1210006,1155167,54839,22950,16234,33223,19873
"읍부",144915,134550,10365,4436,2884,6202,4213
"면부",364745,320145,44600,18006,11458,27913,16748
"전주시",616504,593377,23127,9986,7394,14922,7279
"완산구",345241,331565,13676,6015,4293,8994,4311
"덕진구",271263,261812,9451,3971,3101,5928,2968
"군산시",253765,238862,14903,5974,3834,8780,6879
"익산시",282503,265985,16518,7267,4814,10070,5429
"정읍시",104218,95942,8276,3353,2331,5192,2427
"남원시",76907,69968,6939,2718,1967,4310,2534
"김제시",79465,70272,9193,4151,2540,5349,3335
"완주군",88277,81697,6580,3211,2252,4061,3141
"진안군",21738,19111,2627,997,548,1613,1209
"무주군",22474,20211,2263,795,509,1088,921
"장수군",20598,18466,2132,774,441,1182,1041
"임실군",24991,21802,3189,1099,728,1924,1447
"순창군",25737,22750,2987,1017,733,1796,1033
"고창군",53029,47616,5413,2163,1350,3406,1766
"부안군",49460,43803,5657,1887,1135,3645,2393
"전라남도",1679235,1556727,122508,47002,32162,81207,41385
"동부",727029,695581,31448,11283,8286,20460,12519
"읍부",397195,367243,29952,12476,8805,19367,10966
"면부",555011,493903,61108,23243,15071,41380,17900
"목포시",222814,211907,10907,3365,2829,6924,5595
"여수시",254609,240120,14489,5738,3932,9811,4170
"순천시",248286,239169,9117,3504,2631,6038,3457
"나주시",86472,77514,8958,3664,2419,6228,3559
"광양시",132809,127249,5560,2464,1542,3412,2009
"담양군",41078,36785,4293,2041,1271,2624,1794
"곡성군",27554,24044,3510,1703,1185,2498,975
"구례군",23634,19960,3674,1189,951,2782,1127
"고흥군",59973,54248,5725,2206,1519,3753,1659
"보성군",38931,32211,6720,2516,1249,4232,2119
"화순군",58111,53917,4194,1570,1137,2999,1129
