"행정구역별","연령별","항목","단위","2015 년",
"읍부","75~79","사별","","65707",
"읍부","75~79","이혼","","2490",
"읍부","75~79","남자-계","","56716",
"읍부","75~79","남자-미혼","","286",
"읍부","75~79","남자-배우자 있음","","47136",
"읍부","75~79","남자-사별","","8054",
"읍부","75~79","남자-이혼","","1240",
"읍부","75~79","여자-계","","87623",
"읍부","75~79","여자-미혼","","539",
"읍부","75~79","여자-배우자있음","","28181",
"읍부","75~79","여자-사별","","57653",
"읍부","75~79","여자-이혼","","1250",
"읍부","80~84","내국인(60세 이상)-계","","89641",
"읍부","80~84","혼인상태-계","","89641",
"읍부","80~84","미혼","","572",
"읍부","80~84","배우자 있음","","33469",
"읍부","80~84","사별","","54759",
"읍부","80~84","이혼","","841",
"읍부","80~84","남자-계","","29391",
"읍부","80~84","남자-미혼","","129",
"읍부","80~84","남자-배우자 있음","","22409",
"읍부","80~84","남자-사별","","6459",
"읍부","80~84","남자-이혼","","394",
"읍부","80~84","여자-계","","60250",
"읍부","80~84","여자-미혼","","443",
"읍부","80~84","여자-배우자있음","","11060",
"읍부","80~84","여자-사별","","48300",
"읍부","80~84","여자-이혼","","447",
"읍부","85세 이상","내국인(60세 이상)-계","","57843",
"읍부","85세 이상","혼인상태-계","","57843",
"읍부","85세 이상","미혼","","587",
"읍부","85세 이상","배우자 있음","","11776",
"읍부","85세 이상","사별","","45132",
"읍부","85세 이상","이혼","","348",
"읍부","85세 이상","남자-계","","14215",
"읍부","85세 이상","남자-미혼","","85",
"읍부","85세 이상","남자-배우자 있음","","8824",
"읍부","85세 이상","남자-사별","","5183",
"읍부","85세 이상","남자-이혼","","123",
"읍부","85세 이상","여자-계","","43628",
"읍부","85세 이상","여자-미혼","","502",
"읍부","85세 이상","여자-배우자있음","","2952",
"읍부","85세 이상","여자-사별","","39949",
"읍부","85세 이상","여자-이혼","","225",
"면부","합계","내국인(60세 이상)-계","","1618414",
"면부","합계","혼인상태-계","","1618414",
"면부","합계","미혼","","21962",
"면부","합계","배우자 있음","","997284",
"면부","합계","사별","","558633",
"면부","합계","이혼","","40535",
"면부","합계","남자-계","","690295",
"면부","합계","남자-미혼","","11713",
"면부","합계","남자-배우자 있음","","586800",
"면부","합계","남자-사별","","66192",
"면부","합계","남자-이혼","","25590",
"면부","합계","여자-계","","928119",
"면부","합계","여자-미혼","","10249",
"면부","합계","여자-배우자있음","","410484",
"면부","합계","여자-사별","","492441",
"면부","합계","여자-이혼","","14945",
"면부","60~64","내국인(60세 이상)-계","","361457",
"면부","60~64","혼인상태-계","","361457",
"면부","60~64","미혼","","9350",
"면부","60~64","배우자 있음","","290092",
"면부","60~64","사별","","43261",
"면부","60~64","이혼","","18754",
"면부","60~64","남자-계","","181942",
"면부","60~64","남자-미혼","","5892",
"면부","60~64","남자-배우자 있음","","157296",
"면부","60~64","남자-사별","","6747",
"면부","60~64","남자-이혼","","12007",
"면부","60~64","여자-계","","179515",
"면부","60~64","여자-미혼","","3458",
"면부","60~64","여자-배우자있음","","132796",
"면부","60~64","여자-사별","","36514",
"면부","60~64","여자-이혼","","6747",
"면부","65~69","내국인(60세 이상)-계","","312724",
"면부","65~69","혼인상태-계","","312724",
"면부","65~69","미혼","","5055",
"면부","65~69","배우자 있음","","234542",
"면부","65~69","사별","","62307",
"면부","65~69","이혼","","10820",
"면부","65~69","남자-계","","153521",
"면부","65~69","남자-미혼","","2877",
"면부","65~69","남자-배우자 있음","","135075",
"면부","65~69","남자-사별","","8445",
"면부","65~69","남자-이혼","","7124",
"면부","65~69","여자-계","","159203",
"면부","65~69","여자-미혼","","2178",
"면부","65~69","여자-배우자있음","","99467",
"면부","65~69","여자-사별","","53862",
"면부","65~69","여자-이혼","","3696",
"면부","70~74","내국인(60세 이상)-계","","322091",
"면부","70~74","혼인상태-계","","322091",
"면부","70~74","미혼","","2893",
"면부","70~74","배우자 있음","","208968",
"면부","70~74","사별","","103898",
"면부","70~74","이혼","","6332",
"면부","70~74","남자-계","","140087",
"면부","70~74","남자-미혼","","1531",
"면부","70~74","남자-배우자 있음","","122554",
"면부","70~74","남자-사별","","11906",
"면부","70~74","남자-이혼","","4096",
"면부","70~74","여자-계","","182004",
"면부","70~74","여자-미혼","","1362",
"면부","70~74","여자-배우자있음","","86414",
"면부","70~74","여자-사별","","91992",
"면부","70~74","여자-이혼","","2236",
"면부","75~79","내국인(60세 이상)-계","","298366",
"면부","75~79","혼인상태-계","","298366",
"면부","75~79","미혼","","1976",
"면부","75~79","배우자 있음","","159989",
"면부","75~79","사별","","133564",
"면부","75~79","이혼","","2837",
"면부","75~79","남자-계","","116890",
"면부","75~79","남자-미혼","","805",
"면부","75~79","남자-배우자 있음","","99609",
"면부","75~79","남자-사별","","14837",
"면부","75~79","남자-이혼","","1639",
"면부","75~79","여자-계","","181476",
"면부","75~79","여자-미혼","","1171",
"면부","75~79","여자-배우자있음","","60380",
"면부","75~79","여자-사별","","118727",
"면부","75~79","여자-이혼","","1198",
"면부","80~84","내국인(60세 이상)-계","","196564",
"면부","80~84","혼인상태-계","","196564",
"면부","80~84","미혼","","1222",
"면부","80~84","배우자 있음","","76157",
"면부","80~84","사별","","118035",
"면부","80~84","이혼","","1150",
"면부","80~84","남자-계","","65415",
"면부","80~84","남자-미혼","","347",
"면부","80~84","남자-배우자 있음","","51502",
"면부","80~84","남자-사별","","13056",
"면부","80~84","남자-이혼","","510",
"면부","80~84","여자-계","","131149",
"면부","80~84","여자-미혼","","875",
"면부","80~84","여자-배우자있음","","24655",
"면부","80~84","여자-사별","","104979",
"면부","80~84","여자-이혼","","640",
"면부","85세 이상","내국인(60세 이상)-계","","127212",
"면부","85세 이상","혼인상태-계","","127212",
"면부","85세 이상","미혼","","1466",
"면부","85세 이상","배우자 있음","","27536",
"면부","85세 이상","사별","","97568",
"면부","85세 이상","이혼","","642",
"면부","85세 이상","남자-계","","32440",
"면부","85세 이상","남자-미혼","","261",
"면부","85세 이상","남자-배우자 있음","","20764",
"면부","85세 이상","남자-사별","","11201",
"면부","85세 이상","남자-이혼","","214",
"면부","85세 이상","여자-계","","94772",
"면부","85세 이상","여자-미혼","","1205",
"면부","85세 이상","여자-배우자있음","","6772",
"면부","85세 이상","여자-사별","","86367",
"면부","85세 이상","여자-이혼","","428",
"서울특별시","합계","내국인(60세 이상)-계","","1756932",
"서울특별시","합계","혼인상태-계","","1756932",
"서울특별시","합계","미혼","","33169",
"서울특별시","합계","배우자 있음","","1186564",
"서울특별시","합계","사별","","432895",
"서울특별시","합계","이혼","","104304",
"서울특별시","합계","남자-계","","795037",
"서울특별시","합계","남자-미혼","","14164",
"서울특별시","합계","남자-배우자 있음","","677313",
"서울특별시","합계","남자-사별","","57054",
"서울특별시","합계","남자-이혼","","46506",
"서울특별시","합계","여자-계","","961895",
"서울특별시","합계","여자-미혼","","19005",
"서울특별시","합계","여자-배우자있음","","509251",
"서울특별시","합계","여자-사별","","375841",
"서울특별시","합계","여자-이혼","","57798",
"서울특별시","60~64","내국인(60세 이상)-계","","556511",
"서울특별시","60~64","혼인상태-계","","556511",
"서울특별시","60~64","미혼","","15653",
"서울특별시","60~64","배우자 있음","","435754",
"서울특별시","60~64","사별","","57401",
"서울특별시","60~64","이혼","","47703",
"서울특별시","60~64","남자-계","","264516",
"서울특별시","60~64","남자-미혼","","7563",
"서울특별시","60~64","남자-배우자 있음","","228555",
"서울특별시","60~64","남자-사별","","8106",
"서울특별시","60~64","남자-이혼","","20292",
"서울특별시","60~64","여자-계","","291995",
"서울특별시","60~64","여자-미혼","","8090",
"서울특별시","60~64","여자-배우자있음","","207199",
"서울특별시","60~64","여자-사별","","49295",
"서울특별시","60~64","여자-이혼","","27411",
"서울특별시","65~69","내국인(60세 이상)-계","","434319",
"서울특별시","65~69","혼인상태-계","","434319",
"서울특별시","65~69","미혼","","8196",
"서울특별시","65~69","배우자 있음","","321733",
"서울특별시","65~69","사별","","74690",
"서울특별시","65~69","이혼","","29700",
"서울특별시","65~69","남자-계","","205890",
"서울특별시","65~69","남자-미혼","","3689",
"서울특별시","65~69","남자-배우자 있음","","178400",
"서울특별시","65~69","남자-사별","","9906",
"서울특별시","65~69","남자-이혼","","13895",
"서울특별시","65~69","여자-계","","228429",
"서울특별시","65~69","여자-미혼","","4507",
"서울특별시","65~69","여자-배우자있음","","143333",
"서울특별시","65~69","여자-사별","","64784",
"서울특별시","65~69","여자-이혼","","15805",
"서울특별시","70~74","내국인(60세 이상)-계","","337207",
"서울특별시","70~74","혼인상태-계","","337207",
"서울특별시","70~74","미혼","","4498",
"서울특별시","70~74","배우자 있음","","228683",
"서울특별시","70~74","사별","","87629",
"서울특별시","70~74","이혼","","16397",
"서울특별시","70~74","남자-계","","159007",
"서울특별시","70~74","남자-미혼","","1829",
"서울특별시","70~74","남자-배우자 있음","","137072",
"서울특별시","70~74","남자-사별","","12310",
"서울특별시","70~74","남자-이혼","","7796",
"서울특별시","70~74","여자-계","","178200",
"서울특별시","70~74","여자-미혼","","2669",
"서울특별시","70~74","여자-배우자있음","","91611",
"서울특별시","70~74","여자-사별","","75319",
"서울특별시","70~74","여자-이혼","","8601",
"서울특별시","75~79","내국인(60세 이상)-계","","225924",
"서울특별시","75~79","혼인상태-계","","225924",
"서울특별시","75~79","미혼","","2560",
"서울특별시","75~79","배우자 있음","","129885",
"서울특별시","75~79","사별","","86402",
"서울특별시","75~79","이혼","","7077",
"서울특별시","75~79","남자-계","","98952",
"서울특별시","75~79","남자-미혼","","741",
"서울특별시","75~79","남자-배우자 있음","","83445",
"서울특별시","75~79","남자-사별","","11558",
"서울특별시","75~79","남자-이혼","","3208",
"서울특별시","75~79","여자-계","","126972",
"서울특별시","75~79","여자-미혼","","1819",
"서울특별시","75~79","여자-배우자있음","","46440",
"서울특별시","75~79","여자-사별","","74844",
"서울특별시","75~79","여자-이혼","","3869",
"서울특별시","80~84","내국인(60세 이상)-계","","121873",
"서울특별시","80~84","혼인상태-계","","121873",
"서울특별시","80~84","미혼","","1233",
"서울특별시","80~84","배우자 있음","","51486",
"서울특별시","80~84","사별","","66879",
"서울특별시","80~84","이혼","","2275",
"서울특별시","80~84","남자-계","","44602",
"서울특별시","80~84","남자-미혼","","194",
"서울특별시","80~84","남자-배우자 있음","","35363",
